Label,Pitch,Note_Name,Start_s,Start_beat,Duration_s,Duration_beat,Velocity
surya_17,64,E4,0.7578,1.0104,0.5234,0.6979,117
surya_17,71,B4,1.2578,1.6771,0.2969,0.3958,97
surya_17,69,A4,1.4844,1.9792,0.4688,0.625,105
surya_17,71,B4,1.9297,2.5729,0.3281,0.4375,91
surya_17,67,G4,2.2109,2.9479,0.4844,0.6458,84
surya_17,69,A4,2.6641,3.5521,0.3281,0.4375,102
surya_17,66,F#4,2.9531,3.9375,0.5312,0.7083,110
surya_17,66,F#4,3.7031,4.9375,0.5078,0.6771,116
surya_17,67,G4,4.1562,5.5417,0.3125,0.4167,92
surya_17,64,E4,4.4453,5.9271,0.7969,1.0625,93
surya_17,64,E4,5.5,7.3333,0.2969,0.3958,113
surya_17,59,B3,5.7031,7.6042,0.3203,0.4271,113
surya_17,64,E4,5.9531,7.9375,0.8438,1.125,109
