Label,Pitch,Note_Name,Start_s,Start_beat,Duration_s,Duration_beat,Velocity
surya_20,64,E4,0.0,0.0,0.5078,0.6771,113
surya_20,71,B4,0.4844,0.6458,0.2891,0.3854,94
surya_20,69,A4,0.7344,0.9792,0.4688,0.625,114
surya_20,71,B4,1.2031,1.6042,0.3125,0.4167,105
surya_20,67,G4,1.4844,1.9792,0.4922,0.6562,67
surya_20,69,A4,1.9453,2.5938,0.3125,0.4167,97
surya_20,66,F#4,2.2031,2.9375,0.5,0.6667,96
surya_20,66,F#4,2.9766,3.9688,0.5234,0.6979,118
surya_20,67,G4,3.4688,4.625,0.2578,0.3438,115
surya_20,64,E4,3.7109,4.9479,0.5469,0.7292,113
surya_20,64,E4,4.4062,5.875,0.3203,0.4271,112
surya_20,59,B3,4.6484,6.1979,0.2266,0.3021,102
surya_20,64,E4,4.8984,6.5312,1.0781,1.4375,113
