Label,Pitch,Note_Name,Start_s,Start_beat,Duration_s,Duration_beat,Velocity
surya_10,64,E4,3.3047,4.4062,0.5234,0.6979,117
surya_10,71,B4,3.7891,5.0521,0.3438,0.4583,77
surya_10,69,A4,4.0547,5.4062,0.4453,0.5938,114
surya_10,71,B4,4.4688,5.9583,0.3438,0.4583,90
surya_10,67,G4,4.7656,6.3542,0.5312,0.7083,77
surya_10,69,A4,5.2344,6.9792,0.3438,0.4583,114
surya_10,66,F#4,5.5312,7.375,0.5547,0.7396,108
surya_10,66,F#4,6.2734,8.3646,0.5859,0.7812,120
surya_10,67,G4,6.7891,9.0521,0.2656,0.3542,112
surya_10,64,E4,7.0547,9.4062,0.6484,0.8646,115
surya_10,64,E4,7.9297,10.5729,0.1016,0.1354,99
surya_10,64,E4,8.0781,10.7708,0.2344,0.3125,55
surya_10,59,B3,8.3203,11.0938,0.2344,0.3125,92
surya_10,64,E4,8.5469,11.3958,0.8047,1.0729,100
