Label,Pitch,Note_Name,Start_s,Start_beat,Duration_s,Duration_beat,Velocity
surya_6,64,E4,0.8125,1.0833,0.5469,0.7292,101
surya_6,71,B4,1.3281,1.7708,0.2891,0.3854,78
surya_6,69,A4,1.5547,2.0729,0.4688,0.625,110
surya_6,71,B4,2.0,2.6667,0.3594,0.4792,70
surya_6,67,G4,2.2656,3.0208,0.5078,0.6771,64
surya_6,69,A4,2.6875,3.5833,0.3438,0.4583,106
surya_6,66,F#4,2.9766,3.9688,0.5,0.6667,109
surya_6,66,F#4,3.7109,4.9479,0.6406,0.8542,119
surya_6,67,G4,4.2266,5.6354,0.2812,0.375,104
surya_6,64,E4,4.4766,5.9688,0.7266,0.9688,109
surya_6,64,E4,5.5781,7.4375,0.2656,0.3542,101
surya_6,59,B3,5.8125,7.75,0.2188,0.2917,76
surya_6,64,E4,6.0391,8.0521,0.7031,0.9375,121
