Label,Pitch,Note_Name,Start_s,Start_beat,Duration_s,Duration_beat,Velocity
surya_18,64,E4,0.7188,0.9583,0.5859,0.7812,113
surya_18,71,B4,1.2578,1.6771,0.3125,0.4167,75
surya_18,69,A4,1.5078,2.0104,0.4297,0.5729,113
surya_18,71,B4,1.9219,2.5625,0.3438,0.4583,84
surya_18,67,G4,2.2109,2.9479,0.5,0.6667,115
surya_18,69,A4,2.6797,3.5729,0.3203,0.4271,117
surya_18,66,F#4,2.9609,3.9479,0.5156,0.6875,107
surya_18,66,F#4,3.7578,5.0104,0.5781,0.7708,120
surya_18,67,G4,4.2656,5.6875,0.25,0.3333,89
surya_18,64,E4,4.5156,6.0208,0.6562,0.875,109
surya_18,64,E4,5.5625,7.4167,0.3438,0.4583,98
surya_18,59,B3,5.7969,7.7292,0.2266,0.3021,120
surya_18,64,E4,6.0156,8.0208,0.8516,1.1354,100
