Label,Pitch,Note_Name,Start_s,Start_beat,Duration_s,Duration_beat,Velocity
surya_19,64,E4,0.7969,1.0625,0.5156,0.6875,113
surya_19,71,B4,1.2656,1.6875,0.3359,0.4479,83
surya_19,69,A4,1.5547,2.0729,0.4062,0.5417,119
surya_19,71,B4,1.9844,2.6458,0.3203,0.4271,78
surya_19,67,G4,2.2344,2.9792,0.4922,0.6562,105
surya_19,69,A4,2.6953,3.5938,0.2344,0.3125,113
surya_19,66,F#4,2.9375,3.9167,0.4922,0.6562,116
surya_19,66,F#4,3.6797,4.9062,0.5625,0.75,120
surya_19,67,G4,4.1719,5.5625,0.2578,0.3438,88
surya_19,64,E4,4.4219,5.8958,0.5,0.6667,113
surya_19,64,E4,5.0938,6.7917,0.2656,0.3542,101
surya_19,59,B3,5.2969,7.0625,0.2656,0.3542,65
surya_19,64,E4,5.5156,7.3542,0.6172,0.8229,106
