Label,Pitch,Note_Name,Start_s,Start_beat,Duration_s,Duration_beat,Velocity
surya_1,64,E4,0.0391,0.0521,0.5703,0.7604,115
surya_1,71,B4,0.5781,0.7708,0.3594,0.4792,76
surya_1,69,A4,0.8281,1.1042,0.4531,0.6042,118
surya_1,71,B4,1.2734,1.6979,0.3359,0.4479,91
surya_1,67,G4,1.5078,2.0104,0.5391,0.7188,113
surya_1,69,A4,1.9766,2.6354,0.3438,0.4583,80
surya_1,66,F#4,2.2812,3.0417,0.6016,0.8021,106
surya_1,66,F#4,3.1016,4.1354,0.5312,0.7083,120
surya_1,67,G4,3.5938,4.7917,0.3047,0.4062,83
surya_1,64,E4,3.8438,5.125,0.8438,1.125,89
surya_1,64,E4,4.9766,6.6354,0.2422,0.3229,113
surya_1,59,B3,5.1875,6.9167,0.2422,0.3229,110
surya_1,64,E4,5.3828,7.1771,0.8359,1.1146,116
